generation,treatment,line,nymph,alive,dead,%dead,%alive
1,Control,1,411,372,39,9,91
1,Wasp,2,408,102,306,75,25
1,Control,3,431,419,12,3,97
1,Wasp,4,364,105,259,71,29
1,Control,5,298,283,15,5,95
1,Wasp,6,361,101,260,72,28
1,Wasp,7,455,121,334,73,27
1,Control,8,461,424,37,8,92
1,Wasp,9,387,153,234,60,40
1,Control,10,372,353,19,5,95
1,Control,11,369,345,24,7,93
1,Wasp,12,404,142,262,65,35
1,Wasp,13,311,150,161,52,48
1,Control,14,291,280,11,4,96
1,Control,15,366,340,26,7,93
1,Wasp,16,332,107,225,68,32
1,Control,17,397,368,29,7,93
1,Wasp,18,346,139,207,60,40
1,Wasp,19,406,178,228,56,44
1,Control,20,412,401,11,3,97
1,Wasp,21,383,111,272,71,29
1,Control,22,194,185,9,5,95
1,Wasp,23,273,96,177,65,35
1,Control,24,284,267,17,6,94
1,Control,25,294,286,8,3,97
1,Wasp,26,317,139,178,56,44
1,Wasp,27,328,136,192,59,41
1,Control,28,339,309,30,9,91
1,Control,29,314,311,3,1,99
1,Wasp,30,286,102,184,64,36
1,Control,31,384,364,20,5,95
1,Wasp,32,319,106,213,67,33
1,Control,33,396,389,7,2,98
1,Wasp,34,401,167,234,58,42
1,Wasp,35,366,151,215,59,41
1,Control,36,284,269,15,5,95
1,Control,37,261,253,8,3,97
1,Wasp,38,247,82,165,67,33
1,Wasp,39,329,128,201,61,39
1,Control,40,312,303,9,3,97
2,Control,1,461,441,20,4,96
2,Wasp,2,397,202,195,49,51
2,Control,3,421,403,18,4,96
2,Wasp,4,430,219,211,49,51
2,Control,5,369,360,9,2,98
2,Wasp,6,298,109,189,63,37
2,Wasp,7,469,227,242,52,48
2,Control,8,442,440,2,0,100
2,Wasp,9,268,124,144,54,46
2,Control,10,321,319,2,1,99
2,Control,11,247,233,14,6,94
2,Wasp,12,331,168,163,49,51
2,Wasp,13,482,280,202,42,58
2,Control,14,456,435,21,5,95
2,Control,15,388,388,0,0,100
2,Wasp,16,376,109,267,71,29
2,Control,17,391,382,9,2,98
2,Wasp,18,429,210,219,51,49
2,Wasp,19,481,211,270,56,44
2,Control,20,383,376,7,2,98
2,Wasp,21,371,156,215,58,42
2,Control,22,392,381,11,3,97
2,Wasp,23,299,129,170,57,43
2,Control,24,276,268,8,3,97
2,Control,25,284,282,2,1,99
2,Wasp,26,369,178,191,52,48
